      tablename       |                 indexname                 |                                                          indexdef                                                           
----------------------+-------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------
 admins               | admins_pkey                               | CREATE UNIQUE INDEX admins_pkey ON public.admins USING btree (id)
 admins               | admins_reset_token_key                    | CREATE UNIQUE INDEX admins_reset_token_key ON public.admins USING btree (reset_token)
 admins               | admins_username_key                       | CREATE UNIQUE INDEX admins_username_key ON public.admins USING btree (username)
 admins               | admins_username_unique                    | CREATE UNIQUE INDEX admins_username_unique ON public.admins USING btree (username)
 articles             | articles_pkey                             | CREATE UNIQUE INDEX articles_pkey ON public.articles USING btree (id)
 contacts             | contacts_pkey                             | CREATE UNIQUE INDEX contacts_pkey ON public.contacts USING btree (id)
 events               | events_pkey                               | CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id)
 local_articles       | local_articles_pkey                       | CREATE UNIQUE INDEX local_articles_pkey ON public.local_articles USING btree (id)
 membership_count     | membership_count_pkey                     | CREATE UNIQUE INDEX membership_count_pkey ON public.membership_count USING btree (id)
 newsletters          | newsletters_email_unique                  | CREATE UNIQUE INDEX newsletters_email_unique ON public.newsletters USING btree (email)
 newsletters          | newsletters_pkey                          | CREATE UNIQUE INDEX newsletters_pkey ON public.newsletters USING btree (id)
 payments             | payments_pkey                             | CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (id)
 program_applications | program_applications_pkey                 | CREATE UNIQUE INDEX program_applications_pkey ON public.program_applications USING btree (id)
 program_applications | program_applications_reference_number_key | CREATE UNIQUE INDEX program_applications_reference_number_key ON public.program_applications USING btree (reference_number)
 random_names         | random_names_pkey                         | CREATE UNIQUE INDEX random_names_pkey ON public.random_names USING btree (id)
 session              | IDX_session_expire                        | CREATE INDEX "IDX_session_expire" ON public.session USING btree (expire)
 session              | idx_session_expire                        | CREATE INDEX idx_session_expire ON public.session USING btree (expire)
 session              | session_pkey                              | CREATE UNIQUE INDEX session_pkey ON public.session USING btree (sid)
 student_leads        | student_leads_pkey                        | CREATE UNIQUE INDEX student_leads_pkey ON public.student_leads USING btree (id)
 summit_registrations | summit_registrations_pkey                 | CREATE UNIQUE INDEX summit_registrations_pkey ON public.summit_registrations USING btree (id)
 summit_registrations | summit_registrations_reference_number_key | CREATE UNIQUE INDEX summit_registrations_reference_number_key ON public.summit_registrations USING btree (reference_number)
 transactions         | transactions_pkey                         | CREATE UNIQUE INDEX transactions_pkey ON public.transactions USING btree (id)
 userrtgs             | userrtgs_pkey                             | CREATE UNIQUE INDEX userrtgs_pkey ON public.userrtgs USING btree (id)
 users                | users_email_key                           | CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
 users                | users_pkey                                | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
 users                | users_reset_token_key                     | CREATE UNIQUE INDEX users_reset_token_key ON public.users USING btree (reset_token)
 userwithdrawal       | userwithdrawal_pkey                       | CREATE UNIQUE INDEX userwithdrawal_pkey ON public.userwithdrawal USING btree (id)
(27 rows)

